char	codepoint	low_byte	ascii_if_printable
丢	U+4E22	0x22	"
丣	U+4E23	0x23	#
两	U+4E24	0x24	$
严	U+4E25	0x25	%
並	U+4E26	0x26	&
丧	U+4E27	0x27	'
丨	U+4E28	0x28	(
丩	U+4E29	0x29	)
个	U+4E2A	0x2A	*
丫	U+4E2B	0x2B	+
丬	U+4E2C	0x2C	,
中	U+4E2D	0x2D	-
丮	U+4E2E	0x2E	.
丯	U+4E2F	0x2F	/
丰	U+4E30	0x30	0
丱	U+4E31	0x31	1
串	U+4E32	0x32	2
丳	U+4E33	0x33	3
临	U+4E34	0x34	4
丵	U+4E35	0x35	5
丶	U+4E36	0x36	6
丷	U+4E37	0x37	7
丸	U+4E38	0x38	8
丹	U+4E39	0x39	9
为	U+4E3A	0x3A	:
主	U+4E3B	0x3B	;
丼	U+4E3C	0x3C	<
丽	U+4E3D	0x3D	=
举	U+4E3E	0x3E	>
丿	U+4E3F	0x3F	?
乀	U+4E40	0x40	@
乁	U+4E41	0x41	A
乂	U+4E42	0x42	B
乃	U+4E43	0x43	C
乄	U+4E44	0x44	D
久	U+4E45	0x45	E
乆	U+4E46	0x46	F
乇	U+4E47	0x47	G
么	U+4E48	0x48	H
义	U+4E49	0x49	I
乊	U+4E4A	0x4A	J
之	U+4E4B	0x4B	K
乌	U+4E4C	0x4C	L
乍	U+4E4D	0x4D	M
乎	U+4E4E	0x4E	N
乏	U+4E4F	0x4F	O
乐	U+4E50	0x50	P
乑	U+4E51	0x51	Q
乒	U+4E52	0x52	R
乓	U+4E53	0x53	S
乔	U+4E54	0x54	T
乕	U+4E55	0x55	U
乖	U+4E56	0x56	V
乗	U+4E57	0x57	W
乘	U+4E58	0x58	X
乙	U+4E59	0x59	Y
乚	U+4E5A	0x5A	Z
乛	U+4E5B	0x5B	[
乜	U+4E5C	0x5C	\
九	U+4E5D	0x5D	]
乞	U+4E5E	0x5E	^
也	U+4E5F	0x5F	_
习	U+4E60	0x60	`
乡	U+4E61	0x61	a
乢	U+4E62	0x62	b
乣	U+4E63	0x63	c
乤	U+4E64	0x64	d
乥	U+4E65	0x65	e
书	U+4E66	0x66	f
乧	U+4E67	0x67	g
乨	U+4E68	0x68	h
乩	U+4E69	0x69	i
乪	U+4E6A	0x6A	j
乫	U+4E6B	0x6B	k
乬	U+4E6C	0x6C	l
乭	U+4E6D	0x6D	m
乮	U+4E6E	0x6E	n
乯	U+4E6F	0x6F	o
买	U+4E70	0x70	p
乱	U+4E71	0x71	q
乲	U+4E72	0x72	r
乳	U+4E73	0x73	s
乴	U+4E74	0x74	t
乵	U+4E75	0x75	u
乶	U+4E76	0x76	v
乷	U+4E77	0x77	w
乸	U+4E78	0x78	x
乹	U+4E79	0x79	y
乺	U+4E7A	0x7A	z
乻	U+4E7B	0x7B	{
乼	U+4E7C	0x7C	|
乽	U+4E7D	0x7D	}
乾	U+4E7E	0x7E	~
乿	U+4E7F	0x7F	
亀	U+4E80	0x80	
亁	U+4E81	0x81	
亂	U+4E82	0x82	
亃	U+4E83	0x83	
亄	U+4E84	0x84	
亅	U+4E85	0x85	
了	U+4E86	0x86	
亇	U+4E87	0x87	
予	U+4E88	0x88	
争	U+4E89	0x89	
亊	U+4E8A	0x8A	
事	U+4E8B	0x8B	
二	U+4E8C	0x8C	
亍	U+4E8D	0x8D	
于	U+4E8E	0x8E	
亏	U+4E8F	0x8F	
亐	U+4E90	0x90	
云	U+4E91	0x91	
互	U+4E92	0x92	
亓	U+4E93	0x93	
五	U+4E94	0x94	
井	U+4E95	0x95	
亖	U+4E96	0x96	
亗	U+4E97	0x97	
亘	U+4E98	0x98	
亙	U+4E99	0x99	
亚	U+4E9A	0x9A	
些	U+4E9B	0x9B	
亜	U+4E9C	0x9C	
亝	U+4E9D	0x9D	
亞	U+4E9E	0x9E	
亟	U+4E9F	0x9F	
亠	U+4EA0	0xA0	
亡	U+4EA1	0xA1	
亢	U+4EA2	0xA2	
亣	U+4EA3	0xA3	
交	U+4EA4	0xA4	
亥	U+4EA5	0xA5	
亦	U+4EA6	0xA6	
产	U+4EA7	0xA7	
亨	U+4EA8	0xA8	
亩	U+4EA9	0xA9	
亪	U+4EAA	0xAA	
享	U+4EAB	0xAB	
京	U+4EAC	0xAC	
亭	U+4EAD	0xAD	
亮	U+4EAE	0xAE	
亯	U+4EAF	0xAF	
亰	U+4EB0	0xB0	
亱	U+4EB1	0xB1	
亲	U+4EB2	0xB2	
亳	U+4EB3	0xB3	
亴	U+4EB4	0xB4	
亵	U+4EB5	0xB5	
亶	U+4EB6	0xB6	
亷	U+4EB7	0xB7	
亸	U+4EB8	0xB8	
亹	U+4EB9	0xB9	
人	U+4EBA	0xBA	
亻	U+4EBB	0xBB	
亼	U+4EBC	0xBC	
亽	U+4EBD	0xBD	
亾	U+4EBE	0xBE	
亿	U+4EBF	0xBF	
什	U+4EC0	0xC0	
仁	U+4EC1	0xC1	
仂	U+4EC2	0xC2	
仃	U+4EC3	0xC3	
仄	U+4EC4	0xC4	
仅	U+4EC5	0xC5	
仆	U+4EC6	0xC6	
仇	U+4EC7	0xC7	
仈	U+4EC8	0xC8	
仉	U+4EC9	0xC9	
今	U+4ECA	0xCA	
介	U+4ECB	0xCB	
仌	U+4ECC	0xCC	
仍	U+4ECD	0xCD	
从	U+4ECE	0xCE	
仏	U+4ECF	0xCF	
仐	U+4ED0	0xD0	
仑	U+4ED1	0xD1	
仒	U+4ED2	0xD2	
仓	U+4ED3	0xD3	
仔	U+4ED4	0xD4	
仕	U+4ED5	0xD5	
他	U+4ED6	0xD6	
仗	U+4ED7	0xD7	
付	U+4ED8	0xD8	
仙	U+4ED9	0xD9	
仚	U+4EDA	0xDA	
仛	U+4EDB	0xDB	
仜	U+4EDC	0xDC	
仝	U+4EDD	0xDD	
仞	U+4EDE	0xDE	
仟	U+4EDF	0xDF	
仠	U+4EE0	0xE0	
仡	U+4EE1	0xE1	
仢	U+4EE2	0xE2	
代	U+4EE3	0xE3	
令	U+4EE4	0xE4	
以	U+4EE5	0xE5	
仦	U+4EE6	0xE6	
仧	U+4EE7	0xE7	
仨	U+4EE8	0xE8	
仩	U+4EE9	0xE9	
仪	U+4EEA	0xEA	
仫	U+4EEB	0xEB	
们	U+4EEC	0xEC	
仭	U+4EED	0xED	
仮	U+4EEE	0xEE	
仯	U+4EEF	0xEF	
仰	U+4EF0	0xF0	
仱	U+4EF1	0xF1	
仲	U+4EF2	0xF2	
仳	U+4EF3	0xF3	
仴	U+4EF4	0xF4	
仵	U+4EF5	0xF5	
件	U+4EF6	0xF6	
价	U+4EF7	0xF7	
仸	U+4EF8	0xF8	
仹	U+4EF9	0xF9	
仺	U+4EFA	0xFA	
任	U+4EFB	0xFB	
仼	U+4EFC	0xFC	
份	U+4EFD	0xFD	
仾	U+4EFE	0xFE	
仿	U+4EFF	0xFF	
伀	U+4F00	0x00	
企	U+4F01	0x01	
伂	U+4F02	0x02	
伃	U+4F03	0x03	
伄	U+4F04	0x04	
伅	U+4F05	0x05	
伆	U+4F06	0x06	
伇	U+4F07	0x07	
伈	U+4F08	0x08	
伉	U+4F09	0x09	
伊	U+4F0A	0x0A	
伋	U+4F0B	0x0B	
伌	U+4F0C	0x0C	
伍	U+4F0D	0x0D	
伎	U+4F0E	0x0E	
伏	U+4F0F	0x0F	
伐	U+4F10	0x10	
休	U+4F11	0x11	
伒	U+4F12	0x12	
伓	U+4F13	0x13	
伔	U+4F14	0x14	
伕	U+4F15	0x15	
伖	U+4F16	0x16	
众	U+4F17	0x17	
优	U+4F18	0x18	
伙	U+4F19	0x19	
会	U+4F1A	0x1A	
伛	U+4F1B	0x1B	
伜	U+4F1C	0x1C	
伝	U+4F1D	0x1D	
伞	U+4F1E	0x1E	
伟	U+4F1F	0x1F	
传	U+4F20	0x20	 
伡	U+4F21	0x21	!
伢	U+4F22	0x22	"
伣	U+4F23	0x23	#
伤	U+4F24	0x24	$
伥	U+4F25	0x25	%
伦	U+4F26	0x26	&
伧	U+4F27	0x27	'
伨	U+4F28	0x28	(
伩	U+4F29	0x29	)
伪	U+4F2A	0x2A	*
伫	U+4F2B	0x2B	+
