char	codepoint	low_byte	ascii_if_printable
冧	U+51A7	0xA7	
冨	U+51A8	0xA8	
冩	U+51A9	0xA9	
冪	U+51AA	0xAA	
冫	U+51AB	0xAB	
冬	U+51AC	0xAC	
冭	U+51AD	0xAD	
冮	U+51AE	0xAE	
冯	U+51AF	0xAF	
冰	U+51B0	0xB0	
冱	U+51B1	0xB1	
冲	U+51B2	0xB2	
决	U+51B3	0xB3	
冴	U+51B4	0xB4	
况	U+51B5	0xB5	
冶	U+51B6	0xB6	
冷	U+51B7	0xB7	
冸	U+51B8	0xB8	
冹	U+51B9	0xB9	
冺	U+51BA	0xBA	
冻	U+51BB	0xBB	
冼	U+51BC	0xBC	
冽	U+51BD	0xBD	
冾	U+51BE	0xBE	
冿	U+51BF	0xBF	
净	U+51C0	0xC0	
凁	U+51C1	0xC1	
凂	U+51C2	0xC2	
凃	U+51C3	0xC3	
凄	U+51C4	0xC4	
凅	U+51C5	0xC5	
准	U+51C6	0xC6	
凇	U+51C7	0xC7	
凈	U+51C8	0xC8	
凉	U+51C9	0xC9	
凊	U+51CA	0xCA	
凋	U+51CB	0xCB	
凌	U+51CC	0xCC	
凍	U+51CD	0xCD	
凎	U+51CE	0xCE	
减	U+51CF	0xCF	
凐	U+51D0	0xD0	
凑	U+51D1	0xD1	
凒	U+51D2	0xD2	
凓	U+51D3	0xD3	
凔	U+51D4	0xD4	
凕	U+51D5	0xD5	
凖	U+51D6	0xD6	
凗	U+51D7	0xD7	
凘	U+51D8	0xD8	
凙	U+51D9	0xD9	
凚	U+51DA	0xDA	
凛	U+51DB	0xDB	
凜	U+51DC	0xDC	
凝	U+51DD	0xDD	
凞	U+51DE	0xDE	
凟	U+51DF	0xDF	
几	U+51E0	0xE0	
凡	U+51E1	0xE1	
凢	U+51E2	0xE2	
凣	U+51E3	0xE3	
凤	U+51E4	0xE4	
凥	U+51E5	0xE5	
処	U+51E6	0xE6	
凧	U+51E7	0xE7	
凨	U+51E8	0xE8	
凩	U+51E9	0xE9	
凪	U+51EA	0xEA	
凫	U+51EB	0xEB	
凬	U+51EC	0xEC	
凭	U+51ED	0xED	
凮	U+51EE	0xEE	
凯	U+51EF	0xEF	
凰	U+51F0	0xF0	
凱	U+51F1	0xF1	
凲	U+51F2	0xF2	
凳	U+51F3	0xF3	
凴	U+51F4	0xF4	
凵	U+51F5	0xF5	
凶	U+51F6	0xF6	
凷	U+51F7	0xF7	
凸	U+51F8	0xF8	
凹	U+51F9	0xF9	
出	U+51FA	0xFA	
击	U+51FB	0xFB	
凼	U+51FC	0xFC	
函	U+51FD	0xFD	
凾	U+51FE	0xFE	
凿	U+51FF	0xFF	
刀	U+5200	0x00	
刁	U+5201	0x01	
刂	U+5202	0x02	
刃	U+5203	0x03	
刄	U+5204	0x04	
刅	U+5205	0x05	
分	U+5206	0x06	
切	U+5207	0x07	
刈	U+5208	0x08	
刉	U+5209	0x09	
刊	U+520A	0x0A	
刋	U+520B	0x0B	
刌	U+520C	0x0C	
刍	U+520D	0x0D	
刎	U+520E	0x0E	
刏	U+520F	0x0F	
刐	U+5210	0x10	
刑	U+5211	0x11	
划	U+5212	0x12	
刓	U+5213	0x13	
刔	U+5214	0x14	
刕	U+5215	0x15	
刖	U+5216	0x16	
列	U+5217	0x17	
刘	U+5218	0x18	
则	U+5219	0x19	
刚	U+521A	0x1A	
创	U+521B	0x1B	
刜	U+521C	0x1C	
初	U+521D	0x1D	
刞	U+521E	0x1E	
刟	U+521F	0x1F	
删	U+5220	0x20	 
刡	U+5221	0x21	!
刢	U+5222	0x22	"
刣	U+5223	0x23	#
判	U+5224	0x24	$
別	U+5225	0x25	%
刦	U+5226	0x26	&
刧	U+5227	0x27	'
刨	U+5228	0x28	(
利	U+5229	0x29	)
刪	U+522A	0x2A	*
别	U+522B	0x2B	+
刬	U+522C	0x2C	,
刭	U+522D	0x2D	-
刮	U+522E	0x2E	.
刯	U+522F	0x2F	/
到	U+5230	0x30	0
刱	U+5231	0x31	1
刲	U+5232	0x32	2
刳	U+5233	0x33	3
刴	U+5234	0x34	4
刵	U+5235	0x35	5
制	U+5236	0x36	6
刷	U+5237	0x37	7
券	U+5238	0x38	8
刹	U+5239	0x39	9
刺	U+523A	0x3A	:
刻	U+523B	0x3B	;
刼	U+523C	0x3C	<
刽	U+523D	0x3D	=
刾	U+523E	0x3E	>
刿	U+523F	0x3F	?
剀	U+5240	0x40	@
剁	U+5241	0x41	A
剂	U+5242	0x42	B
剃	U+5243	0x43	C
剄	U+5244	0x44	D
剅	U+5245	0x45	E
剆	U+5246	0x46	F
則	U+5247	0x47	G
剈	U+5248	0x48	H
剉	U+5249	0x49	I
削	U+524A	0x4A	J
剋	U+524B	0x4B	K
剌	U+524C	0x4C	L
前	U+524D	0x4D	M
剎	U+524E	0x4E	N
剏	U+524F	0x4F	O
剐	U+5250	0x50	P
剑	U+5251	0x51	Q
剒	U+5252	0x52	R
剓	U+5253	0x53	S
剔	U+5254	0x54	T
剕	U+5255	0x55	U
剖	U+5256	0x56	V
剗	U+5257	0x57	W
剘	U+5258	0x58	X
剙	U+5259	0x59	Y
剚	U+525A	0x5A	Z
剛	U+525B	0x5B	[
剜	U+525C	0x5C	\
剝	U+525D	0x5D	]
剞	U+525E	0x5E	^
剟	U+525F	0x5F	_
剠	U+5260	0x60	`
剡	U+5261	0x61	a
剢	U+5262	0x62	b
剣	U+5263	0x63	c
剤	U+5264	0x64	d
剥	U+5265	0x65	e
剦	U+5266	0x66	f
剧	U+5267	0x67	g
剨	U+5268	0x68	h
剩	U+5269	0x69	i
剪	U+526A	0x6A	j
剫	U+526B	0x6B	k
剬	U+526C	0x6C	l
剭	U+526D	0x6D	m
剮	U+526E	0x6E	n
副	U+526F	0x6F	o
剰	U+5270	0x70	p
剱	U+5271	0x71	q
割	U+5272	0x72	r
剳	U+5273	0x73	s
剴	U+5274	0x74	t
創	U+5275	0x75	u
剶	U+5276	0x76	v
剷	U+5277	0x77	w
剸	U+5278	0x78	x
剹	U+5279	0x79	y
剺	U+527A	0x7A	z
剻	U+527B	0x7B	{
剼	U+527C	0x7C	|
剽	U+527D	0x7D	}
剾	U+527E	0x7E	~
剿	U+527F	0x7F	
劀	U+5280	0x80	
劁	U+5281	0x81	
劂	U+5282	0x82	
劃	U+5283	0x83	
劄	U+5284	0x84	
劅	U+5285	0x85	
劆	U+5286	0x86	
劇	U+5287	0x87	
劈	U+5288	0x88	
劉	U+5289	0x89	
劊	U+528A	0x8A	
劋	U+528B	0x8B	
劌	U+528C	0x8C	
劍	U+528D	0x8D	
劎	U+528E	0x8E	
劏	U+528F	0x8F	
劐	U+5290	0x90	
劑	U+5291	0x91	
劒	U+5292	0x92	
劓	U+5293	0x93	
劔	U+5294	0x94	
劕	U+5295	0x95	
劖	U+5296	0x96	
劗	U+5297	0x97	
劘	U+5298	0x98	
劙	U+5299	0x99	
劚	U+529A	0x9A	
力	U+529B	0x9B	
劜	U+529C	0x9C	
劝	U+529D	0x9D	
办	U+529E	0x9E	
功	U+529F	0x9F	
加	U+52A0	0xA0	
务	U+52A1	0xA1	
劢	U+52A2	0xA2	
劣	U+52A3	0xA3	
劤	U+52A4	0xA4	
劥	U+52A5	0xA5	
劦	U+52A6	0xA6	
劧	U+52A7	0xA7	
动	U+52A8	0xA8	
助	U+52A9	0xA9	
努	U+52AA	0xAA	
劫	U+52AB	0xAB	
劬	U+52AC	0xAC	
劭	U+52AD	0xAD	
劮	U+52AE	0xAE	
劯	U+52AF	0xAF	
劰	U+52B0	0xB0	
励	U+52B1	0xB1	
劲	U+52B2	0xB2	
劳	U+52B3	0xB3	
労	U+52B4	0xB4	
劵	U+52B5	0xB5	
劶	U+52B6	0xB6	
劷	U+52B7	0xB7	
劸	U+52B8	0xB8	
効	U+52B9	0xB9	
劺	U+52BA	0xBA	
劻	U+52BB	0xBB	
劼	U+52BC	0xBC	
劽	U+52BD	0xBD	
劾	U+52BE	0xBE	
势	U+52BF	0xBF	
勀	U+52C0	0xC0	
勁	U+52C1	0xC1	
勂	U+52C2	0xC2	
勃	U+52C3	0xC3	
勄	U+52C4	0xC4	
勅	U+52C5	0xC5	
勆	U+52C6	0xC6	
勇	U+52C7	0xC7	
勈	U+52C8	0xC8	
勉	U+52C9	0xC9	
勊	U+52CA	0xCA	
勋	U+52CB	0xCB	
勌	U+52CC	0xCC	
勍	U+52CD	0xCD	
勎	U+52CE	0xCE	
勏	U+52CF	0xCF	
勐	U+52D0	0xD0	
勑	U+52D1	0xD1	
勒	U+52D2	0xD2	
勓	U+52D3	0xD3	
勔	U+52D4	0xD4	
動	U+52D5	0xD5	
勖	U+52D6	0xD6	
勗	U+52D7	0xD7	
勘	U+52D8	0xD8	
務	U+52D9	0xD9	
勚	U+52DA	0xDA	
勛	U+52DB	0xDB	
勜	U+52DC	0xDC	
勝	U+52DD	0xDD	
勞	U+52DE	0xDE	
募	U+52DF	0xDF	
勠	U+52E0	0xE0	
勡	U+52E1	0xE1	
勢	U+52E2	0xE2	
勣	U+52E3	0xE3	
勤	U+52E4	0xE4	
勥	U+52E5	0xE5	
勦	U+52E6	0xE6	
勧	U+52E7	0xE7	
勨	U+52E8	0xE8	
勩	U+52E9	0xE9	
勪	U+52EA	0xEA	
勫	U+52EB	0xEB	
勬	U+52EC	0xEC	
勭	U+52ED	0xED	
勮	U+52EE	0xEE	
勯	U+52EF	0xEF	
勰	U+52F0	0xF0	
勱	U+52F1	0xF1	
勲	U+52F2	0xF2	
勳	U+52F3	0xF3	
勴	U+52F4	0xF4	
勵	U+52F5	0xF5	
勶	U+52F6	0xF6	
勷	U+52F7	0xF7	
勸	U+52F8	0xF8	
勹	U+52F9	0xF9	
勺	U+52FA	0xFA	
勻	U+52FB	0xFB	
勼	U+52FC	0xFC	
勽	U+52FD	0xFD	
勾	U+52FE	0xFE	
勿	U+52FF	0xFF	
匀	U+5300	0x00	
匁	U+5301	0x01	
匂	U+5302	0x02	
匃	U+5303	0x03	
匄	U+5304	0x04	
包	U+5305	0x05	
匆	U+5306	0x06	
匇	U+5307	0x07	
匈	U+5308	0x08	
匉	U+5309	0x09	
匊	U+530A	0x0A	
匋	U+530B	0x0B	
匌	U+530C	0x0C	
匍	U+530D	0x0D	
匎	U+530E	0x0E	
匏	U+530F	0x0F	
匐	U+5310	0x10	
匑	U+5311	0x11	
匒	U+5312	0x12	
匓	U+5313	0x13	
匔	U+5314	0x14	
匕	U+5315	0x15	
化	U+5316	0x16	
北	U+5317	0x17	
匘	U+5318	0x18	
匙	U+5319	0x19	
匚	U+531A	0x1A	
匛	U+531B	0x1B	
匜	U+531C	0x1C	
匝	U+531D	0x1D	
匞	U+531E	0x1E	
匟	U+531F	0x1F	
匠	U+5320	0x20	 
匡	U+5321	0x21	!
匢	U+5322	0x22	"
匣	U+5323	0x23	#
匤	U+5324	0x24	$
匥	U+5325	0x25	%
匦	U+5326	0x26	&
匧	U+5327	0x27	'
匨	U+5328	0x28	(
匩	U+5329	0x29	)
匪	U+532A	0x2A	*
匫	U+532B	0x2B	+
匬	U+532C	0x2C	,
匭	U+532D	0x2D	-
匮	U+532E	0x2E	.
匯	U+532F	0x2F	/
匰	U+5330	0x30	0
匱	U+5331	0x31	1
匲	U+5332	0x32	2
匳	U+5333	0x33	3
匴	U+5334	0x34	4
匵	U+5335	0x35	5
匶	U+5336	0x36	6
匷	U+5337	0x37	7
匸	U+5338	0x38	8
匹	U+5339	0x39	9
区	U+533A	0x3A	:
医	U+533B	0x3B	;
匼	U+533C	0x3C	<
匽	U+533D	0x3D	=
匾	U+533E	0x3E	>
匿	U+533F	0x3F	?
區	U+5340	0x40	@
十	U+5341	0x41	A
卂	U+5342	0x42	B
千	U+5343	0x43	C
卄	U+5344	0x44	D
卅	U+5345	0x45	E
卆	U+5346	0x46	F
升	U+5347	0x47	G
午	U+5348	0x48	H
卉	U+5349	0x49	I
半	U+534A	0x4A	J
卋	U+534B	0x4B	K
卌	U+534C	0x4C	L
卍	U+534D	0x4D	M
华	U+534E	0x4E	N
协	U+534F	0x4F	O
卐	U+5350	0x50	P
卑	U+5351	0x51	Q
卒	U+5352	0x52	R
卓	U+5353	0x53	S
協	U+5354	0x54	T
单	U+5355	0x55	U
卖	U+5356	0x56	V
南	U+5357	0x57	W
単	U+5358	0x58	X
卙	U+5359	0x59	Y
博	U+535A	0x5A	Z
卛	U+535B	0x5B	[
卜	U+535C	0x5C	\
卝	U+535D	0x5D	]
卞	U+535E	0x5E	^
卟	U+535F	0x5F	_
占	U+5360	0x60	`
卡	U+5361	0x61	a
卢	U+5362	0x62	b
卣	U+5363	0x63	c
卤	U+5364	0x64	d
卥	U+5365	0x65	e
卦	U+5366	0x66	f
卧	U+5367	0x67	g
卨	U+5368	0x68	h
卩	U+5369	0x69	i
卪	U+536A	0x6A	j
卫	U+536B	0x6B	k
卬	U+536C	0x6C	l
卭	U+536D	0x6D	m
卮	U+536E	0x6E	n
卯	U+536F	0x6F	o
印	U+5370	0x70	p
危	U+5371	0x71	q
卲	U+5372	0x72	r
即	U+5373	0x73	s
却	U+5374	0x74	t
卵	U+5375	0x75	u
卶	U+5376	0x76	v
卷	U+5377	0x77	w
卸	U+5378	0x78	x
卹	U+5379	0x79	y
卺	U+537A	0x7A	z
卻	U+537B	0x7B	{
卼	U+537C	0x7C	|
卽	U+537D	0x7D	}
卾	U+537E	0x7E	~
卿	U+537F	0x7F	
厀	U+5380	0x80	
厁	U+5381	0x81	
厂	U+5382	0x82	
厃	U+5383	0x83	
厄	U+5384	0x84	
厅	U+5385	0x85	
历	U+5386	0x86	
厇	U+5387	0x87	
厈	U+5388	0x88	
厉	U+5389	0x89	
厊	U+538A	0x8A	
压	U+538B	0x8B	
厌	U+538C	0x8C	
厍	U+538D	0x8D	
厎	U+538E	0x8E	
厏	U+538F	0x8F	
厐	U+5390	0x90	
厑	U+5391	0x91	
厒	U+5392	0x92	
厓	U+5393	0x93	
厔	U+5394	0x94	
厕	U+5395	0x95	
厖	U+5396	0x96	
厗	U+5397	0x97	
厘	U+5398	0x98	
厙	U+5399	0x99	
厚	U+539A	0x9A	
厛	U+539B	0x9B	
厜	U+539C	0x9C	
厝	U+539D	0x9D	
厞	U+539E	0x9E	
原	U+539F	0x9F	
厠	U+53A0	0xA0	
厡	U+53A1	0xA1	
厢	U+53A2	0xA2	
厣	U+53A3	0xA3	
厤	U+53A4	0xA4	
厥	U+53A5	0xA5	
厦	U+53A6	0xA6	
厧	U+53A7	0xA7	
厨	U+53A8	0xA8	
厩	U+53A9	0xA9	
厪	U+53AA	0xAA	
厫	U+53AB	0xAB	
厬	U+53AC	0xAC	
厭	U+53AD	0xAD	
厮	U+53AE	0xAE	
厯	U+53AF	0xAF	
厰	U+53B0	0xB0	
厱	U+53B1	0xB1	
厲	U+53B2	0xB2	
厳	U+53B3	0xB3	
厴	U+53B4	0xB4	
厵	U+53B5	0xB5	
厶	U+53B6	0xB6	
厷	U+53B7	0xB7	
厸	U+53B8	0xB8	
厹	U+53B9	0xB9	
厺	U+53BA	0xBA	
去	U+53BB	0xBB	
厼	U+53BC	0xBC	
厽	U+53BD	0xBD	
厾	U+53BE	0xBE	
县	U+53BF	0xBF	
叀	U+53C0	0xC0	
叁	U+53C1	0xC1	
参	U+53C2	0xC2	
參	U+53C3	0xC3	
叄	U+53C4	0xC4	
叅	U+53C5	0xC5	
叆	U+53C6	0xC6	
叇	U+53C7	0xC7	
又	U+53C8	0xC8	
叉	U+53C9	0xC9	
及	U+53CA	0xCA	
友	U+53CB	0xCB	
双	U+53CC	0xCC	
反	U+53CD	0xCD	
収	U+53CE	0xCE	
叏	U+53CF	0xCF	
叐	U+53D0	0xD0	
发	U+53D1	0xD1	
叒	U+53D2	0xD2	
叓	U+53D3	0xD3	
叔	U+53D4	0xD4	
叕	U+53D5	0xD5	
取	U+53D6	0xD6	
受	U+53D7	0xD7	
变	U+53D8	0xD8	
叙	U+53D9	0xD9	
叚	U+53DA	0xDA	
叛	U+53DB	0xDB	
叜	U+53DC	0xDC	
叝	U+53DD	0xDD	
叞	U+53DE	0xDE	
叟	U+53DF	0xDF	
叠	U+53E0	0xE0	
叡	U+53E1	0xE1	
叢	U+53E2	0xE2	
口	U+53E3	0xE3	
古	U+53E4	0xE4	
句	U+53E5	0xE5	
另	U+53E6	0xE6	
叧	U+53E7	0xE7	
叨	U+53E8	0xE8	
叩	U+53E9	0xE9	
只	U+53EA	0xEA	
叫	U+53EB	0xEB	
召	U+53EC	0xEC	
叭	U+53ED	0xED	
叮	U+53EE	0xEE	
可	U+53EF	0xEF	
台	U+53F0	0xF0	
叱	U+53F1	0xF1	
史	U+53F2	0xF2	
右	U+53F3	0xF3	
叴	U+53F4	0xF4	
叵	U+53F5	0xF5	
叶	U+53F6	0xF6	
号	U+53F7	0xF7	
司	U+53F8	0xF8	
叹	U+53F9	0xF9	
叺	U+53FA	0xFA	
叻	U+53FB	0xFB	
叼	U+53FC	0xFC	
叽	U+53FD	0xFD	
叾	U+53FE	0xFE	
叿	U+53FF	0xFF	
吀	U+5400	0x00	
吁	U+5401	0x01	
吂	U+5402	0x02	
吃	U+5403	0x03	
各	U+5404	0x04	
吅	U+5405	0x05	
吆	U+5406	0x06	
吇	U+5407	0x07	
合	U+5408	0x08	
吉	U+5409	0x09	
吊	U+540A	0x0A	
吋	U+540B	0x0B	
同	U+540C	0x0C	
名	U+540D	0x0D	
后	U+540E	0x0E	
吏	U+540F	0x0F	
吐	U+5410	0x10	
向	U+5411	0x11	
吒	U+5412	0x12	
吓	U+5413	0x13	
吔	U+5414	0x14	
吕	U+5415	0x15	
吖	U+5416	0x16	
吗	U+5417	0x17	
吘	U+5418	0x18	
吙	U+5419	0x19	
吚	U+541A	0x1A	
君	U+541B	0x1B	
吜	U+541C	0x1C	
吝	U+541D	0x1D	
吞	U+541E	0x1E	
吟	U+541F	0x1F	
吠	U+5420	0x20	 
吡	U+5421	0x21	!
吢	U+5422	0x22	"
吣	U+5423	0x23	#
吤	U+5424	0x24	$
吥	U+5425	0x25	%
否	U+5426	0x26	&
吧	U+5427	0x27	'
吨	U+5428	0x28	(
吩	U+5429	0x29	)
吪	U+542A	0x2A	*
含	U+542B	0x2B	+
听	U+542C	0x2C	,
吭	U+542D	0x2D	-
吮	U+542E	0x2E	.
启	U+542F	0x2F	/
吰	U+5430	0x30	0
吱	U+5431	0x31	1
吲	U+5432	0x32	2
吳	U+5433	0x33	3
吴	U+5434	0x34	4
吵	U+5435	0x35	5
吶	U+5436	0x36	6
吷	U+5437	0x37	7
吸	U+5438	0x38	8
吹	U+5439	0x39	9
吺	U+543A	0x3A	:
吻	U+543B	0x3B	;
吼	U+543C	0x3C	<
吽	U+543D	0x3D	=
吾	U+543E	0x3E	>
吿	U+543F	0x3F	?
呀	U+5440	0x40	@
呁	U+5441	0x41	A
呂	U+5442	0x42	B
呃	U+5443	0x43	C
呄	U+5444	0x44	D
呅	U+5445	0x45	E
呆	U+5446	0x46	F
呇	U+5447	0x47	G
呈	U+5448	0x48	H
呉	U+5449	0x49	I
告	U+544A	0x4A	J
呋	U+544B	0x4B	K
呌	U+544C	0x4C	L
呍	U+544D	0x4D	M
呎	U+544E	0x4E	N
呏	U+544F	0x4F	O
呐	U+5450	0x50	P
呑	U+5451	0x51	Q
呒	U+5452	0x52	R
呓	U+5453	0x53	S
呔	U+5454	0x54	T
呕	U+5455	0x55	U
呖	U+5456	0x56	V
呗	U+5457	0x57	W
员	U+5458	0x58	X
呙	U+5459	0x59	Y
呚	U+545A	0x5A	Z
呛	U+545B	0x5B	[
呜	U+545C	0x5C	\
呝	U+545D	0x5D	]
呞	U+545E	0x5E	^
呟	U+545F	0x5F	_
呠	U+5460	0x60	`
呡	U+5461	0x61	a
呢	U+5462	0x62	b
呣	U+5463	0x63	c
呤	U+5464	0x64	d
呥	U+5465	0x65	e
呦	U+5466	0x66	f
呧	U+5467	0x67	g
周	U+5468	0x68	h
呩	U+5469	0x69	i
呪	U+546A	0x6A	j
呫	U+546B	0x6B	k
呬	U+546C	0x6C	l
呭	U+546D	0x6D	m
呮	U+546E	0x6E	n
呯	U+546F	0x6F	o
呰	U+5470	0x70	p
呱	U+5471	0x71	q
呲	U+5472	0x72	r
味	U+5473	0x73	s
呴	U+5474	0x74	t
呵	U+5475	0x75	u
呶	U+5476	0x76	v
呷	U+5477	0x77	w
呸	U+5478	0x78	x
呹	U+5479	0x79	y
呺	U+547A	0x7A	z
呻	U+547B	0x7B	{
呼	U+547C	0x7C	|
命	U+547D	0x7D	}
呾	U+547E	0x7E	~
呿	U+547F	0x7F	
咀	U+5480	0x80	
咁	U+5481	0x81	
咂	U+5482	0x82	
咃	U+5483	0x83	
咄	U+5484	0x84	
咅	U+5485	0x85	
咆	U+5486	0x86	
咇	U+5487	0x87	
咈	U+5488	0x88	
咉	U+5489	0x89	
咊	U+548A	0x8A	
咋	U+548B	0x8B	
和	U+548C	0x8C	
咍	U+548D	0x8D	
咎	U+548E	0x8E	
咏	U+548F	0x8F	
咐	U+5490	0x90	
咑	U+5491	0x91	
咒	U+5492	0x92	
咓	U+5493	0x93	
咔	U+5494	0x94	
咕	U+5495	0x95	
咖	U+5496	0x96	
咗	U+5497	0x97	
咘	U+5498	0x98	
咙	U+5499	0x99	
咚	U+549A	0x9A	
咛	U+549B	0x9B	
咜	U+549C	0x9C	
咝	U+549D	0x9D	
咞	U+549E	0x9E	
咟	U+549F	0x9F	
咠	U+54A0	0xA0	
咡	U+54A1	0xA1	
咢	U+54A2	0xA2	
咣	U+54A3	0xA3	
咤	U+54A4	0xA4	
咥	U+54A5	0xA5	
咦	U+54A6	0xA6	
咧	U+54A7	0xA7	
咨	U+54A8	0xA8	
咩	U+54A9	0xA9	
咪	U+54AA	0xAA	
咫	U+54AB	0xAB	
咬	U+54AC	0xAC	
咭	U+54AD	0xAD	
咮	U+54AE	0xAE	
咯	U+54AF	0xAF	
咰	U+54B0	0xB0	
咱	U+54B1	0xB1	
咲	U+54B2	0xB2	
咳	U+54B3	0xB3	
咴	U+54B4	0xB4	
咵	U+54B5	0xB5	
咶	U+54B6	0xB6	
咷	U+54B7	0xB7	
咸	U+54B8	0xB8	
咹	U+54B9	0xB9	
咺	U+54BA	0xBA	
咻	U+54BB	0xBB	
咼	U+54BC	0xBC	
咽	U+54BD	0xBD	
咾	U+54BE	0xBE	
咿	U+54BF	0xBF	
哀	U+54C0	0xC0	
品	U+54C1	0xC1	
哂	U+54C2	0xC2	
哃	U+54C3	0xC3	
哄	U+54C4	0xC4	
哅	U+54C5	0xC5	
哆	U+54C6	0xC6	
哇	U+54C7	0xC7	
哈	U+54C8	0xC8	
哉	U+54C9	0xC9	
哊	U+54CA	0xCA	
哋	U+54CB	0xCB	
哌	U+54CC	0xCC	
响	U+54CD	0xCD	
哎	U+54CE	0xCE	
哏	U+54CF	0xCF	
哐	U+54D0	0xD0	
哑	U+54D1	0xD1	
哒	U+54D2	0xD2	
哓	U+54D3	0xD3	
哔	U+54D4	0xD4	
哕	U+54D5	0xD5	
哖	U+54D6	0xD6	
哗	U+54D7	0xD7	
哘	U+54D8	0xD8	
哙	U+54D9	0xD9	
哚	U+54DA	0xDA	
哛	U+54DB	0xDB	
哜	U+54DC	0xDC	
哝	U+54DD	0xDD	
哞	U+54DE	0xDE	
哟	U+54DF	0xDF	
哠	U+54E0	0xE0	
員	U+54E1	0xE1	
哢	U+54E2	0xE2	
哣	U+54E3	0xE3	
哤	U+54E4	0xE4	
哥	U+54E5	0xE5	
哦	U+54E6	0xE6	
哧	U+54E7	0xE7	
哨	U+54E8	0xE8	
哩	U+54E9	0xE9	
哪	U+54EA	0xEA	
哫	U+54EB	0xEB	
哬	U+54EC	0xEC	
哭	U+54ED	0xED	
哮	U+54EE	0xEE	
哯	U+54EF	0xEF	
哰	U+54F0	0xF0	
哱	U+54F1	0xF1	
哲	U+54F2	0xF2	
哳	U+54F3	0xF3	
哴	U+54F4	0xF4	
哵	U+54F5	0xF5	
哶	U+54F6	0xF6	
哷	U+54F7	0xF7	
哸	U+54F8	0xF8	
哹	U+54F9	0xF9	
哺	U+54FA	0xFA	
哻	U+54FB	0xFB	
哼	U+54FC	0xFC	
哽	U+54FD	0xFD	
哾	U+54FE	0xFE	
哿	U+54FF	0xFF	
唀	U+5500	0x00	
唁	U+5501	0x01	
唂	U+5502	0x02	
唃	U+5503	0x03	
唄	U+5504	0x04	
唅	U+5505	0x05	
唆	U+5506	0x06	
唇	U+5507	0x07	
唈	U+5508	0x08	
唉	U+5509	0x09	
唊	U+550A	0x0A	
唋	U+550B	0x0B	
唌	U+550C	0x0C	
唍	U+550D	0x0D	
唎	U+550E	0x0E	
唏	U+550F	0x0F	
唐	U+5510	0x10	
唑	U+5511	0x11	
唒	U+5512	0x12	
唓	U+5513	0x13	
唔	U+5514	0x14	
唕	U+5515	0x15	
唖	U+5516	0x16	
唗	U+5517	0x17	
唘	U+5518	0x18	
唙	U+5519	0x19	
唚	U+551A	0x1A	
唛	U+551B	0x1B	
唜	U+551C	0x1C	
唝	U+551D	0x1D	
唞	U+551E	0x1E	
唟	U+551F	0x1F	
唠	U+5520	0x20	 
唡	U+5521	0x21	!
唢	U+5522	0x22	"
唣	U+5523	0x23	#
唤	U+5524	0x24	$
唥	U+5525	0x25	%
唦	U+5526	0x26	&
唧	U+5527	0x27	'
唨	U+5528	0x28	(
唩	U+5529	0x29	)
唪	U+552A	0x2A	*
唫	U+552B	0x2B	+
唬	U+552C	0x2C	,
唭	U+552D	0x2D	-
售	U+552E	0x2E	.
唯	U+552F	0x2F	/
唰	U+5530	0x30	0
唱	U+5531	0x31	1
唲	U+5532	0x32	2
唳	U+5533	0x33	3
唴	U+5534	0x34	4
唵	U+5535	0x35	5
唶	U+5536	0x36	6
唷	U+5537	0x37	7
唸	U+5538	0x38	8
唹	U+5539	0x39	9
唺	U+553A	0x3A	:
唻	U+553B	0x3B	;
唼	U+553C	0x3C	<
唽	U+553D	0x3D	=
唾	U+553E	0x3E	>
唿	U+553F	0x3F	?
啀	U+5540	0x40	@
啁	U+5541	0x41	A
啂	U+5542	0x42	B
啃	U+5543	0x43	C
啄	U+5544	0x44	D
啅	U+5545	0x45	E
商	U+5546	0x46	F
啇	U+5547	0x47	G
啈	U+5548	0x48	H
啉	U+5549	0x49	I
啊	U+554A	0x4A	J
啋	U+554B	0x4B	K
啌	U+554C	0x4C	L
啍	U+554D	0x4D	M
啎	U+554E	0x4E	N
問	U+554F	0x4F	O
啐	U+5550	0x50	P
啑	U+5551	0x51	Q
啒	U+5552	0x52	R
啓	U+5553	0x53	S
啔	U+5554	0x54	T
啕	U+5555	0x55	U
啖	U+5556	0x56	V
啗	U+5557	0x57	W
啘	U+5558	0x58	X
啙	U+5559	0x59	Y
啚	U+555A	0x5A	Z
啛	U+555B	0x5B	[
啜	U+555C	0x5C	\
啝	U+555D	0x5D	]
啞	U+555E	0x5E	^
啟	U+555F	0x5F	_
啠	U+5560	0x60	`
啡	U+5561	0x61	a
啢	U+5562	0x62	b
啣	U+5563	0x63	c
啤	U+5564	0x64	d
啥	U+5565	0x65	e
啦	U+5566	0x66	f
啧	U+5567	0x67	g
啨	U+5568	0x68	h
啩	U+5569	0x69	i
啪	U+556A	0x6A	j
啫	U+556B	0x6B	k
啬	U+556C	0x6C	l
啭	U+556D	0x6D	m
啮	U+556E	0x6E	n
啯	U+556F	0x6F	o
啰	U+5570	0x70	p
啱	U+5571	0x71	q
啲	U+5572	0x72	r
啳	U+5573	0x73	s
啴	U+5574	0x74	t
啵	U+5575	0x75	u
啶	U+5576	0x76	v
啷	U+5577	0x77	w
啸	U+5578	0x78	x
啹	U+5579	0x79	y
